"年月日","牡羊座","牡牛座","双子座","蟹座","獅子座","乙女座","天秤座","蠍座","射手座","山羊座","水瓶座","魚座"
"20100101","12","4","1","5","10","3","7","9","2","11","8","6"
"20100102","11","1","10","7","12","6","4","8","2","3","5","9"
"20100103","4","10","11","2","6","9","3","12","7","8","1","5"
"20100104","4","10","9","5","7","12","11","1","8","6","2","3"
"20100105","4","12","3","6","9","8","7","2","11","1","10","5"
"20100106","9","11","6","8","10","4","2","3","1","5","12","7"
"20100107","9","12","10","3","7","1","5","4","6","8","2","11"
"20100108","4","12","1","10","2","8","5","7","9","3","11","6"
"20100109","6","9","3","2","11","1","4","5","7","10","12","8"
"20100110","1","12","5","6","2","7","10","8","11","3","9","4"
"20100111","8","3","9","6","10","4","12","7","11","5","1","2"
"20100112","6","11","9","7","2","5","4","3","8","10","12","1"
"20100113","6","7","4","5","1","3","12","2","11","10","9","8"
"20100114","6","9","4","8","10","11","3","5","7","12","2","1"
"20100115","9","10","8","1","4","2","7","5","12","6","11","3"
"20100116","6","3","7","9","8","4","11","10","1","12","2","5"
"20100117","4","1","2","6","7","8","12","5","11","3","10","9"
"20100118","3","6","8","2","1","11","12","5","10","7","4","9"
"20100119","3","4","8","2","9","11","5","6","12","1","10","7"
"20100120","3","12","2","5","1","9","4","6","11","8","10","7"
"20100121","3","8","6","9","4","5","7","1","12","2","11","10"
"20100122","3","8","7","9","10","12","6","4","5","1","11","2"
"20100123","3","12","11","2","10","1","5","6","4","7","8","9"
"20100124","2","9","3","8","1","7","11","6","4","12","5","10"
"20100125","3","12","11","1","5","9","6","7","2","8","4","10"
"20100126","7","10","1","11","5","12","3","4","8","6","2","9"
"20100127","2","4","9","12","6","11","8","1","5","10","3","7"
"20100128","9","3","11","1","4","10","8","5","2","12","7","6"
"20100129","5","12","7","3","1","2","8","11","9","10","6","4"
"20100130","10","2","12","9","8","11","4","5","6","7","3","1"
"20100131","2","1","9","4","11","3","12","7","6","5","8","10"
"20100201","8","11","7","2","12","3","4","6","10","9","1","5"
"20100202","5","11","9","1","8","12","7","4","2","10","6","3"
"20100203","2","8","1","4","5","3","7","6","12","10","11","9"
"20100204","3","8","1","5","9","4","11","7","2","12","10","6"
"20100205","6","8","3","5","10","4","1","11","7","12","2","9"
"20100206","12","3","1","7","9","2","6","5","4","10","11","8"
"20100207","10","9","11","7","3","1","2","5","12","4","8","6"
"20100208","11","6","5","7","12","4","1","3","8","2","9","10"
"20100209","12","7","10","5","6","8","4","9","3","1","2","11"
"20100210","4","6","9","5","8","11","2","10","3","1","7","12"
"20100211","8","4","6","11","3","7","9","2","12","10","1","5"
"20100212","10","3","2","12","8","5","4","1","7","11","9","6"
"20100213","11","9","10","4","3","5","1","8","6","12","2","7"
"20100214","7","6","9","2","1","5","10","4","8","12","11","3"
"20100215","12","8","9","11","5","10","7","2","6","3","1","4"
"20100216","10","11","9","7","1","4","6","3","8","12","5","2"
"20100217","9","12","10","8","11","7","6","3","4","1","5","2"
"20100218","10","8","12","1","4","7","5","9","2","3","6","11"
"20100219","10","1","11","8","7","12","2","9","5","6","3","4"
"20100220","7","8","4","11","9","6","2","10","1","12","5","3"
"20100221","9","6","1","3","5","8","2","10","11","7","12","4"
